"idx","dateOf","timeCriterium","highOrLow","swingPrice","swingRange","swingTB","swingCD","keyToMarketData","ticker"
661,#1939-09-13#,5,2,157.8,29.2,16,20,10414,"^DJI"
662,#1939-11-30#,5,1,144.9,-12.90001,63,78,10477,"^DJI"
663,#1940-01-04#,5,2,153.3,8.400009,28,35,10505,"^DJI"
664,#1940-01-15#,5,1,143.1,-10.2,9,11,10514,"^DJI"
665,#1940-01-25#,5,2,147.3,4.199997,9,10,10523,"^DJI"
666,#1940-02-05#,5,1,144.7,-2.600006,9,11,10532,"^DJI"
667,#1940-04-08#,5,2,152.1,7.400009,51,63,10583,"^DJI"
668,#1940-06-10#,5,1,110.4,-41.7,53,63,10636,"^DJI"
669,#1940-06-18#,5,2,125.3,14.9,7,8,10643,"^DJI"
670,#1940-06-26#,5,1,118.7,-6.600006,7,8,10650,"^DJI"
671,#1940-07-31#,5,2,127.2,8.5,29,35,10679,"^DJI"
672,#1940-08-16#,5,1,120.9,-6.299995,14,16,10693,"^DJI"
673,#1940-09-05#,5,2,134.5,13.6,16,20,10709,"^DJI"
674,#1940-09-13#,5,1,127.2,-7.300003,7,8,10716,"^DJI"
675,#1940-10-03#,5,2,135.9,8.699997,17,20,10733,"^DJI"
676,#1940-10-15#,5,1,129.5,-6.399994,9,12,10742,"^DJI"
677,#1940-11-08#,5,2,138.8,9.300003,20,24,10762,"^DJI"
678,#1940-11-28#,5,1,129.1,-9.699997,15,20,10777,"^DJI"
679,#1940-12-13#,5,2,133,3.899994,13,15,10790,"^DJI"
680,#1940-12-23#,5,1,127.8,-5.199997,8,10,10798,"^DJI"
681,#1941-01-10#,5,2,134.3,6.5,14,18,10812,"^DJI"
682,#1941-02-19#,5,1,117.4,-16.9,33,40,10845,"^DJI"
683,#1941-02-26#,5,2,122.9,5.5,5,7,10850,"^DJI"
684,#1941-03-05#,5,1,120,-2.900002,6,7,10856,"^DJI"
685,#1941-04-04#,5,2,125.3,5.300003,26,30,10882,"^DJI"
686,#1941-05-01#,5,1,114.8,-10.5,22,27,10904,"^DJI"
687,#1941-05-21#,5,2,118.5,3.699997,17,20,10921,"^DJI"
688,#1941-05-27#,5,1,115.3,-3.199997,5,6,10926,"^DJI"
